,duration,vehicle_in,vehicle_out
0,2187.9433403805497,7095,4289
1,2162.492044228695,7416,4615
2,2158.3390078467883,7519,4614
3,2132.440025990903,7695,4802
4,2112.061854371378,7938,5148
5,2106.2070047702737,7966,5106
6,2050.5208333333335,8064,5187
7,1988.2963006876926,8434,5558
8,1864.5466083150984,9140,6368
9,1844.201541260837,9343,6607
10,1644.054484842171,9599,7113
11,1703.450411930337,9589,6965
12,1866.8729964267484,9795,7125
13,1904.936544026457,9676,6911
14,1728.562675442842,10331,8275
15,1709.566056024038,10317,8371
16,1695.9729520865533,10352,8396
17,1638.0514992860542,10505,8589
18,1664.8038323816897,10333,8252
19,1592.3088077858881,10275,8349
20,1503.2206838089855,10617,8800
21,1506.6434634974532,10602,8797
22,1448.3616643291257,10695,8894
23,1439.5440876183404,10774,9015
24,1490.873962264151,10600,8761
25,1453.2535514018691,10700,8884
26,1471.4717711480362,10592,8766
27,1548.1812631177256,10482,8553
28,1454.1390483243845,10802,8940
29,1556.428803051979,10485,8458
30,1491.8469387755101,10780,8816
31,1458.1875976113918,10885,8935
32,1364.0467993544917,11154,9445
33,1430.9821347601342,11027,9145
34,1406.8088235294117,10948,9224
35,1354.4776928546037,11252,9520
36,1383.811476143586,11171,9462
37,1392.3513343516938,11129,9272
38,1340.2292959744636,11278,9625
39,1365.031777202535,11203,9466
40,1414.9936874380016,11089,9244
41,1421.3851784907365,11065,9215
42,1427.0429352780309,10970,9105
43,1397.611019586308,10926,9090
44,1336.2680430562907,11334,9580
45,1355.1499157278454,11273,9527
46,1294.4124145186745,11406,9823
47,1336.1360197079007,11366,9668
48,1302.4642982149107,11428,9692
49,1281.1909946002438,11482,9864
50,1294.357234754267,11659,9993
51,1312.1359936991337,11427,9707
52,1337.911918013959,11319,9541
53,1339.4180225281602,11186,9423
54,1326.3286037604457,11488,9689
55,1218.8142770719903,11571,9959
56,1292.9426002766252,11568,9880
57,1338.9240688971051,11089,9207
58,1334.9428900301045,11294,9537
59,1315.65935038499,11299,9560
60,1308.8784783374429,11356,9684
61,1318.1122980251346,11140,9439
62,1269.0463899845652,11662,9996
63,1327.5156359803232,11384,9603
64,1321.3708503461744,11266,9567
65,1330.2300632629422,11223,9491
66,1326.7839308007847,11214,9406
67,1320.0251953296463,11391,9712
68,1346.5497434050599,11107,9333
69,1339.9022978268615,11228,9242
70,1352.8763743631,11187,9288
71,1368.252926762864,11019,9144
72,1378.2536936936938,11100,9130
73,1323.7395703887803,11266,9422
74,1303.0769162995596,11350,9625
75,1335.8909684823873,11327,9484
76,1362.8784653908067,11182,9317
77,1341.828120750612,11031,9329
78,1359.7444909852486,10982,9155
79,1338.868007542426,11137,9359
