,duration,vehicle_in,vehicle_out
0,1357.3071852340145,4551,2910
1,1411.7604522184301,4688,3045
2,1173.610543195029,4989,3514
3,948.1506434519304,5284,4059
4,878.9514118078474,5454,4238
5,925.5443942814146,5316,3922
6,733.4638596491228,5700,4848
7,727.8774745853398,5607,4939
8,400.94102645839973,6274,6053
9,456.37230671736376,6312,6024
10,406.2025316455696,6004,5760
11,441.48257287705957,6312,6056
12,387.6338620912917,6178,5927
13,401.6606099935107,6164,5904
14,334.29138968027854,6318,6152
15,393.9574604189989,6253,6004
16,364.94122319301033,6295,6058
17,318.89792360120464,6309,6127
18,337.9611850443599,6312,6106
19,345.13977471045536,6303,6083
20,304.50522317188984,6318,6161
21,295.4912864385298,6312,6132
22,279.9151361621279,6316,6181
23,280.19848053181386,6318,6162
24,269.01330798479086,6312,6185
25,282.05921469284357,6316,6171
26,281.1747665030869,6317,6178
27,290.99762695775985,6321,6183
28,298.70242433845664,6311,6170
29,277.5949627752257,6313,6172
30,276.47545915136163,6316,6184
31,267.8161101440101,6319,6194
32,264.85334178017104,6314,6185
33,261.8838056039259,6317,6191
34,259.7619575546405,6314,6189
35,257.0003168065896,6313,6194
36,259.64498258942706,6318,6199
37,258.2957099889188,6317,6202
38,260.01773835920176,6314,6194
39,252.32943037974684,6320,6203
40,255.67896153237297,6317,6196
41,254.31955661124306,6315,6196
42,258.9903389293633,6314,6189
43,261.2675744141862,6316,6189
44,263.80347826086955,6325,6209
45,259.4402914159012,6314,6187
46,260.2611585944919,6318,6192
47,255.739226869455,6312,6186
48,256.0090246991767,6316,6193
49,256.3314330958036,6315,6190
50,257.90301109350236,6310,6187
51,253.09139870109297,6313,6185
52,253.36258514177095,6313,6188
53,250.4821145932257,6318,6186
54,252.25898938697924,6313,6194
55,249.79990494296578,6312,6183
56,249.1618670886076,6320,6201
57,250.53633053664714,6317,6194
58,250.34726840855106,6315,6185
59,248.99002059242832,6313,6184
60,247.63949992087356,6319,6195
61,248.46007604562737,6312,6189
62,249.3839695865674,6313,6188
63,248.59328476401646,6314,6193
64,248.4217611656636,6314,6191
65,246.64038004750594,6315,6196
66,248.04197022489706,6314,6180
67,246.29806778587266,6314,6188
68,247.13941698352346,6312,6198
69,248.94236858771373,6316,6183
70,248.0610142630745,6310,6187
71,250.50364269876465,6314,6191
72,251.09838403041826,6312,6184
73,251.17849223946786,6314,6182
74,249.32309154260375,6314,6189
75,247.73657532076666,6313,6192
76,244.94047807503563,6317,6196
77,244.75942350332593,6314,6187
78,245.5886547298368,6311,6191
79,246.58242280285035,6315,6188
